"name"	"type"	"edition"	"rarity"	"value"	"suit"	"cost"	"upkeep"	"control"	"influence"	"bullet"	"stud"	"start"	"outfit"	"text"
"Ignore 'im"	"actions"	"1&2"	"C1"	"K"	"C"	0	0	0	0		"no"			"Shootout: Remove one of your dudes from this Shootout. Your dude is sent home, booted."
"Headsman's Axe"	"actions"	"1&2"	"R"	"A"	"C"	0	0	0	0		"no"			"Reaction: Play immediately after any dude is aced. The dude may not be brought into play again through any means."
"Bluff"	"actions"	"1&2"	"R"	2	"C"	0	0	0	0		"no"			"Reaction: Play immediately after Players have revealed their Draw Hands. Discard yours and draw five cards which become your new Draw Hand."
"Nice Boots, Chief"	"actions"	"1&2"	"R2"	3	"C"	0	0	0	0		"no"			"Reaction: Play when an opposing dude is aced in a Shootout. Take any one goods from that dude and attach it to one of your dudes that was in the Shootout."
"Bad Tequila"	"actions"	"1&2"	"C2"	7	"C"	0	0	0	0		"no"			"Noon: Boot any dude in play with influence less than two."
"This Don't Involve You"	"actions"	"Ash"	"C"	"KC"		0					"no"			"Shootout: If possible, the dealer and target must be chosen to be lead shooters in this round of the shootout."
"Move Along"	"actions"	"Ash"	"U"	"7C"		0					"no"			"Reaction: Target another player's Action card that has just resolved. No further copies of that Action card may be played by any player for the rest of the game. Reduce your maximum hand size by 1 permanently. Ace this card."
"Close Shave"	"actions"	"Ash"	"U"	"4C"		2					"no"			"Reaction: Target one of your Dudes when he or she is aced outside of a shootout. The Dude is not aced, but goes home booted instead."
"Listen Up!"	"actions"	"Ash"	"C"	"9C"		1					"no"			"Noon: Target a Dude. The Dude gains a +1 Influence bonus until after Nightfall."
"Confederate Hunter"	"actions"	"Ash"	"R"	"9C"		0					"no"			"Reaction: Play when a card effect is preventing you from targeting a Dude. You may target that Dude."
"The North End"	"actions"	"Ash"	"C"	"8C"		0					"no"			"Cheatin'! Reaction: Play when another player reveals an illegal Draw hand. That player may not play any Action cards (except Cheatin'! cards), until after Nightfall. Only one Cheatin'! card can be played against a player per draw."
"Down The Barrel..."	"actions"	"Ash"	"R"	"7C"		1					"no"			"Reaction: Play immediately before another player pulls for a card effect. That player pulls an additional card, and you choose which card is used for the pull. Only one Down the Barrel... can be played per pull."
"Puttin' The Heat On"	"actions"	"Ash"	"U"	"AC"		0					"no"			"Noon: Boot one of your in-town Agency, Law Dog or Ranger Dudes to target a Wanted Dude in town with an equal or lower value. Boot the target Dude."
